ogc_fid,gml_id,id,codseccion,munide,nuevos_mun,codigo,cod_dep,nom_dep,cod_prov,nom_prov,cod_mun,cat_sec,nom_mun,cantones,poblacion,area,perimeter,prov,pob_tot,hombres,mujeres,tc_92_01,lengua,zlengua,adscrip,zadscrip,pueblos,anal_tot,anal_hom,anal_muj,tmi,part_per,tgf,tmn,nbi_92,nbi_01
83,indigena.83,346.0,021701,77.0,0.0,021701,2,La Paz,17,Manco Kapac,1,PRIMERA,Copacabana,3,13573,102842.5,2647.014,Manco Kapac,14586.0,6958.0,7628.0,0.8,12615.0,86.5,8785.0,97.0,Aymara,24.9,10.6,37.9,58.9,29.8,4.3,-11.6,94.0,87.7
84,indigena.84,252.0,070602,269.0,0.0,070602,7,Santa Cruz,6,Sara,2,SEGUNDA,Santa Rosa del Sara,2,9248,4.143930716922E9,780794.982,Sara,15052.0,8577.0,6475.0,5.3,4994.0,33.2,3092.0,35.5,Quechua,15.0,10.5,21.7,63.8,65.9,5.0,26.3,91.7,85.2
85,indigena.85,34.0,021401,89.0,0.0,021401,2,La Paz,14,Nor Yungas,1,PRIMERA,Coroico,3,10157,9.46334982719E8,163508.801,Nor Yungas,12237.0,6641.0,5596.0,2.0,7770.0,63.5,6830.0,85.1,Aymara,13.3,7.3,21.2,64.5,45.0,4.2,8.1,89.9,75.6
86,indigena.86,178.0,021203,73.0,0.0,021203,2,La Paz,12,Los Andes,3,TERCERA,Batallas,8,17147,6.89401269594E8,146101.798,Los Andes,18693.0,9083.0,9610.0,0.9,17387.0,93.0,11101.0,95.7,Aymara,22.3,10.3,33.0,71.3,16.8,4.7,-15.2,98.0,95.7
87,indigena.87,323.0,021701,77.0,0.0,021701,2,La Paz,17,Manco Kapac,1,PRIMERA,Copacabana,3,13573,1205336.5,5870.447,Manco Kapac,14586.0,6958.0,7628.0,0.8,12615.0,86.5,8785.0,97.0,Aymara,24.9,10.6,37.9,58.9,29.8,4.3,-11.6,94.0,87.7
88,indigena.88,325.0,021701,77.0,0.0,021701,2,La Paz,17,Manco Kapac,1,PRIMERA,Copacabana,3,13573,1.52621267E8,89319.477,Manco Kapac,14586.0,6958.0,7628.0,0.8,12615.0,86.5,8785.0,97.0,Aymara,24.9,10.6,37.9,58.9,29.8,4.3,-11.6,94.0,87.7
89,indigena.89,417.0,020201,90.0,0.0,020201,2,La Paz,2,Omasuyos,1,PRIMERA,Achacachi,14,60050,135174.0,1431.689,Omasuyos,70503.0,34659.0,35844.0,1.7,65644.0,93.1,43286.0,95.6,Aymara,25.1,11.2,37.9,75.9,18.0,5.0,-13.6,93.3,93.3
90,indigena.90,418.0,020201,90.0,0.0,020201,2,La Paz,2,Omasuyos,1,PRIMERA,Achacachi,14,60050,11924.0,519.658,Omasuyos,70503.0,34659.0,35844.0,1.7,65644.0,93.1,43286.0,95.6,Aymara,25.1,11.2,37.9,75.9,18.0,5.0,-13.6,93.3,93.3
91,indigena.91,409.0,021701,77.0,0.0,021701,2,La Paz,17,Manco Kapac,1,PRIMERA,Copacabana,3,13573,2655.5,247.582,Manco Kapac,14586.0,6958.0,7628.0,0.8,12615.0,86.5,8785.0,97.0,Aymara,24.9,10.6,37.9,58.9,29.8,4.3,-11.6,94.0,87.7
92,indigena.92,411.0,021701,77.0,0.0,021701,2,La Paz,17,Manco Kapac,1,PRIMERA,Copacabana,3,13573,59313.813,1815.909,Manco Kapac,14586.0,6958.0,7628.0,0.8,12615.0,86.5,8785.0,97.0,Aymara,24.9,10.6,37.9,58.9,29.8,4.3,-11.6,94.0,87.7
93,indigena.93,410.0,021701,77.0,0.0,021701,2,La Paz,17,Manco Kapac,1,PRIMERA,Copacabana,3,13573,2028.0,177.932,Manco Kapac,14586.0,6958.0,7628.0,0.8,12615.0,86.5,8785.0,97.0,Aymara,24.9,10.6,37.9,58.9,29.8,4.3,-11.6,94.0,87.7
94,indigena.94,179.0,021201,75.0,0.0,021201,2,La Paz,12,Los Andes,1,PRIMERA,Pucarani,12,22799,1.229509376422E9,241377.168,Los Andes,26802.0,13063.0,13739.0,1.7,25743.0,96.1,14800.0,93.3,Aymara,24.8,11.2,36.9,73.8,13.7,5.6,-12.0,97.8,97.7
95,indigena.95,302.0,071005,325.0,0.0,071005,7,Santa Cruz,10,Obispo Santisteban,5,QUINTA,San Pedro,,,3.10621843359399E9,550288.979,Obispo Santistevan,14644.0,8184.0,6460.0,3.8,5209.0,38.2,5293.0,63.8,"Quechua,Chiquitano",16.0,9.5,25.3,57.7,246.0,5.2,3.7,86.1,72.2
96,indigena.96,408.0,021701,77.0,0.0,021701,2,La Paz,17,Manco Kapac,1,PRIMERA,Copacabana,3,13573,67739.0,1070.795,Manco Kapac,14586.0,6958.0,7628.0,0.8,12615.0,86.5,8785.0,97.0,Aymara,24.9,10.6,37.9,58.9,29.8,4.3,-11.6,94.0,87.7
97,indigena.97,188.0,021703,79.0,0.0,021703,2,La Paz,17,Manco Kapac,3,TERCERA,Tito Yupanki,1,1491,1.47082175E7,20855.676,Manco Kapac,2213.0,1029.0,1184.0,4.3,2033.0,91.9,1536.0,98.5,Aymara,36.9,18.9,51.3,76.1,21.1,4.2,-10.3,98.6,98.9
120,indigena.120,257.0,070302,276.0,0.0,070302,7,Santa Cruz,3,Velasco,2,SEGUNDA,San Miguel de Velasco,1,8429,9.697867562375E9,556925.872,Velasco,10273.0,5281.0,4992.0,2.1,1045.0,10.2,4788.0,92.3,Chiquitano,13.6,7.7,19.9,46.2,59.4,7.0,-5.8,93.1,84.0
127,indigena.127,329.0,020803,54.0,0.0,020803,2,La Paz,8,Ingavi,3,TERCERA,Tiahuanacu,5,13151,3.46925751531E8,102817.855,Ingavi,11309.0,5523.0,5786.0,1.9,10080.0,94.0,6758.0,96.7,Aymara,25.5,12.5,37.2,72.2,9.5,4.7,-8.2,98.3,96.2
98,indigena.98,327.0,021702,78.0,0.0,021702,2,La Paz,17,Manco Kapac,2,SEGUNDA,San Pedro de Tiquina,5,5490,9440836.0,17492.201,Manco Kapac,6093.0,3034.0,3059.0,1.1,5214.0,85.6,3898.0,93.1,Aymara,27.5,8.3,45.7,82.4,30.5,4.6,-2.8,92.0,91.2
99,indigena.99,326.0,021702,78.0,0.0,021702,2,La Paz,17,Manco Kapac,2,SEGUNDA,San Pedro de Tiquina,5,5490,4.6324011E7,39093.156,Manco Kapac,6093.0,3034.0,3059.0,1.1,5214.0,85.6,3898.0,93.1,Aymara,27.5,8.3,45.7,82.4,30.5,4.6,-2.8,92.0,91.2
100,indigena.100,42.0,021402,88.0,0.0,021402,2,La Paz,14,Nor Yungas,2,SEGUNDA,Coripata,3,10276,3.44281972484E8,102264.642,Nor Yungas,11444.0,5819.0,5625.0,1.2,7999.0,69.9,6959.0,95.3,Aymara,15.7,9.0,22.6,71.6,39.6,4.4,-1.9,95.1,88.8
101,indigena.101,443.0,021702,78.0,0.0,021702,2,La Paz,17,Manco Kapac,2,SEGUNDA,San Pedro de Tiquina,5,5490,547.5,102.367,Manco Kapac,6093.0,3034.0,3059.0,1.1,5214.0,85.6,3898.0,93.1,Aymara,27.5,8.3,45.7,82.4,30.5,4.6,-2.8,92.0,91.2
102,indigena.102,442.0,021702,78.0,0.0,021702,2,La Paz,17,Manco Kapac,2,SEGUNDA,San Pedro de Tiquina,5,5490,838.5,110.6,Manco Kapac,6093.0,3034.0,3059.0,1.1,5214.0,85.6,3898.0,93.1,Aymara,27.5,8.3,45.7,82.4,30.5,4.6,-2.8,92.0,91.2
103,indigena.103,341.0,020201,90.0,0.0,020201,2,La Paz,2,Omasuyos,1,PRIMERA,Achacachi,14,60050,13644.0,455.85,Omasuyos,70503.0,34659.0,35844.0,1.7,65644.0,93.1,43286.0,95.6,Aymara,25.1,11.2,37.9,75.9,18.0,5.0,-13.6,93.3,93.3
104,indigena.104,338.0,021702,78.0,0.0,021702,2,La Paz,17,Manco Kapac,2,SEGUNDA,San Pedro de Tiquina,5,5490,14220.5,474.641,Manco Kapac,6093.0,3034.0,3059.0,1.1,5214.0,85.6,3898.0,93.1,Aymara,27.5,8.3,45.7,82.4,30.5,4.6,-2.8,92.0,91.2
105,indigena.105,330.0,020201,90.0,0.0,020201,2,La Paz,2,Omasuyos,1,PRIMERA,Achacachi,14,60050,1671256.5,5419.878,Omasuyos,70503.0,34659.0,35844.0,1.7,65644.0,93.1,43286.0,95.6,Aymara,25.1,11.2,37.9,75.9,18.0,5.0,-13.6,93.3,93.3
106,indigena.106,241.0,021001,59.0,0.0,021001,2,La Paz,10,Inquisivi,1,PRIMERA,Inquisivi,8,15195,3.266102958859E9,363842.89,Inquisivi,16143.0,8395.0,7748.0,0.7,15165.0,93.9,8610.0,96.5,"Aymara,Quechua",19.0,9.7,29.4,81.5,10.4,7.4,-10.8,98.7,98.0
107,indigena.107,155.0,020105,84.0,0.0,020105,2,La Paz,1,Murillo,5,CUARTA,El Alto,1,405492,3.48680179297E8,125712.097,Murillo,649958.0,321527.0,328431.0,5.1,351983.0,54.2,319668.0,81.3,Aymara,8.0,2.4,13.2,64.1,54.9,4.2,18.5,73.8,66.9
108,indigena.108,335.0,021702,78.0,0.0,021602,2,La Paz,17,Manco Kapac,2,SEGUNDA,San Pedro de Tiquina,5,5490,294915.5,2101.31,Manco Kapac,6093.0,3034.0,3059.0,1.1,5214.0,85.6,3898.0,93.1,Aymara,27.5,8.3,45.7,82.4,30.5,4.6,-2.8,92.0,91.2
109,indigena.109,186.0,021204,76.0,0.0,021204,2,La Paz,12,Los Andes,4,CUARTA,Puerto Perez,4,7586,1.18226608438E8,107649.556,Los Andes,7830.0,3827.0,4003.0,0.3,7578.0,96.8,4791.0,94.6,Aymara,29.8,15.2,43.6,89.7,14.1,5.5,-11.0,98.9,98.7
110,indigena.110,44.0,021101,100.0,0.0,021101,2,La Paz,11,Sur Yungas,1,PRIMERA,Chulumani,5,11101,2.85118249641E8,89476.393,Sur Yungas,13204.0,6763.0,6441.0,1.9,6894.0,52.2,6883.0,81.8,Aymara,13.7,7.5,20.3,58.2,50.8,4.0,-1.9,89.4,73.6
111,indigena.111,339.0,021702,78.0,0.0,021702,2,La Paz,17,Manco Kapac,2,SEGUNDA,San Pedro de Tiquina,5,5490,36547.5,962.551,Manco Kapac,6093.0,3034.0,3059.0,1.1,5214.0,85.6,3898.0,93.1,Aymara,27.5,8.3,45.7,82.4,30.5,4.6,-2.8,92.0,91.2
121,indigena.121,332.0,021204,76.0,0.0,021204,2,La Paz,12,Los Andes,4,CUARTA,Puerto Perez,4,7586,1356158.5,6795.216,Los Andes,7830.0,3827.0,4003.0,0.3,7578.0,96.8,4791.0,94.6,Aymara,29.8,15.2,43.6,89.7,14.1,5.5,-11.0,98.9,98.7
128,indigena.128,37.0,021003,56.0,0.0,021003,2,La Paz,10,Inquisivi,3,TERCERA,Cajuata,4,8681,9.66863557438E8,173606.508,Inquisivi,7757.0,4127.0,3630.0,-1.2,4484.0,57.8,3499.0,76.0,"Aymara,Quechua",18.5,10.2,28.4,66.6,30.3,5.6,-1.7,98.3,95.0
129,indigena.129,80.0,021202,74.0,0.0,021202,2,La Paz,12,Los Andes,2,SEGUNDA,Laja,6,14653,6.84704470047E8,144210.124,Los Andes,16311.0,7956.0,8355.0,1.2,15718.0,96.4,9434.0,94.9,Aymara,24.5,12.4,35.4,61.9,13.8,4.7,-16.1,98.9,98.8
112,indigena.112,331.0,021702,78.0,0.0,021702,2,La Paz,17,Manco Kapac,2,SEGUNDA,San Pedro de Tiquina,5,5490,4308128.0,10204.899,Manco Kapac,6093.0,3034.0,3059.0,1.1,5214.0,85.6,3898.0,93.1,Aymara,27.5,8.3,45.7,82.4,30.5,4.6,-2.8,92.0,91.2
113,indigena.113,340.0,021702,78.0,0.0,021702,2,La Paz,17,Manco Kapac,2,SEGUNDA,San Pedro de Tiquina,5,5490,44318.5,975.773,Manco Kapac,6093.0,3034.0,3059.0,1.1,5214.0,85.6,3898.0,93.1,Aymara,27.5,8.3,45.7,82.4,30.5,4.6,-2.8,92.0,91.2
122,indigena.122,336.0,021204,76.0,0.0,021204,2,La Paz,12,Los Andes,4,CUARTA,Puerto Perez,4,7586,455352.0,2520.75,Los Andes,7830.0,3827.0,4003.0,0.3,7578.0,96.8,4791.0,94.6,Aymara,29.8,15.2,43.6,89.7,14.1,5.5,-11.0,98.9,98.7
130,indigena.130,29.0,020102,87.0,0.0,020102,2,La Paz,1,Murillo,2,PRIMERA,Palca,3,12360,7.39139604891E8,157036.774,Murillo,14185.0,7223.0,6962.0,1.5,13227.0,93.3,7737.0,92.4,Aymara,22.2,13.0,31.8,67.3,12.3,5.2,-12.8,97.2,98.7
114,indigena.114,334.0,021204,76.0,0.0,021204,2,La Paz,12,Los Andes,4,CUARTA,Puerto Perez,4,7586,5041921.453,12083.89,Los Andes,7830.0,3827.0,4003.0,0.3,7578.0,96.8,4791.0,94.6,Aymara,29.8,15.2,43.6,89.7,14.1,5.5,-11.0,98.9,98.7
115,indigena.115,39.0,021102,101.0,0.0,021102,2,La Paz,11,Sur Yungas,2,SEGUNDA,Irupana,6,11929,1.381751428719E9,223733.292,Sur Yungas,11383.0,6104.0,5279.0,-0.5,6762.0,59.4,5260.0,74.0,Aymara,18.1,10.7,27.1,66.1,40.0,4.4,-6.5,91.0,83.8
116,indigena.116,342.0,021702,78.0,0.0,021702,2,La Paz,17,Manco Kapac,2,SEGUNDA,San Pedro de Tiquina,5,5490,131049.0,1421.164,Manco Kapac,6093.0,3034.0,3059.0,1.1,5214.0,85.6,3898.0,93.1,Aymara,27.5,8.3,45.7,82.4,30.5,4.6,-2.8,92.0,91.2
117,indigena.117,32.0,021103,104.0,0.0,021103,2,La Paz,11,Sur Yungas,3,TERCERA,Yanacachi,2,4059,5.76286067953E8,122691.418,Sur Yungas,4250.0,2349.0,1901.0,0.5,2403.0,56.5,2297.0,82.6,Aymara,12.4,7.9,18.1,61.6,51.5,3.3,17.3,71.0,64.8
118,indigena.118,319.0,070404,322.0,0.0,070404,7,Santa Cruz,4,Ichilo,4,CUARTA,San Juan,,,1.588677164594E9,496160.454,Ichilo,9131.0,5136.0,3995.0,5.9,2151.0,25.6,2239.0,42.1,"Quechua,Chiquitano,Guarani",11.1,7.1,16.9,63.9,26.7,5.5,7.5,83.2,64.7
119,indigena.119,419.0,021204,76.0,0.0,021204,2,La Paz,12,Los Andes,4,CUARTA,Puerto Perez,4,7586,293506.0,2251.753,Los Andes,7830.0,3827.0,4003.0,0.3,7578.0,96.8,4791.0,94.6,Aymara,29.8,15.2,43.6,89.7,14.1,5.5,-11.0,98.9,98.7
123,indigena.123,337.0,021204,76.0,0.0,021204,2,La Paz,12,Los Andes,4,CUARTA,Puerto Perez,4,7586,271741.0,2470.805,Los Andes,7830.0,3827.0,4003.0,0.3,7578.0,96.8,4791.0,94.6,Aymara,29.8,15.2,43.6,89.7,14.1,5.5,-11.0,98.9,98.7
124,indigena.124,333.0,021204,76.0,0.0,021204,2,La Paz,12,Los Andes,4,CUARTA,Puerto Perez,4,7586,150758.5,2100.376,Los Andes,7830.0,3827.0,4003.0,0.3,7578.0,96.8,4791.0,94.6,Aymara,29.8,15.2,43.6,89.7,14.1,5.5,-11.0,98.9,98.7
125,indigena.125,407.0,020803,0.0,0.0,020803,2,La Paz,8,Ingavi,3,TERCERA,Tiahuanacu,5,13151,2103430.0,6925.662,Ingavi,11309.0,5523.0,5786.0,1.9,10080.0,94.0,6758.0,96.7,Aymara,25.5,12.5,37.2,72.2,9.5,4.7,-8.2,98.3,96.2
126,indigena.126,328.0,020807,53.0,0.0,020803,2,La Paz,8,Ingavi,3,SEPTIMA,Taraco,2,,1.09017862383E8,77183.367,Ingavi,5922.0,2900.0,3022.0,5.2,5401.0,95.2,3865.0,96.4,Aymara,30.0,16.3,45.2,67.4,4.9,4.7,-4.3,98.3,98.8
131,indigena.131,255.0,071104,314.0,0.0,071104,7,Santa Cruz,11,?uflo De Chavez,4,CUARTA,San Juli?n,,,5.78537856031299E9,476809.556,Nuflo de Chavez,38027.0,21220.0,16807.0,4.7,16246.0,46.0,12823.0,63.6,"Quechua,Chiquitano,Guarani",17.6,9.9,28.6,79.3,43.0,5.7,7.4,96.8,89.5
132,indigena.132,193.0,071201,237.0,0.0,071201,7,Santa Cruz,12,Angel Sandoval,1,PRIMERA,San Mat?as,4,10695,2.8117527313531E10,863780.061,Angel Sandoval,13073.0,6910.0,6163.0,2.2,1234.0,9.4,4274.0,60.3,Chiquitano,8.3,5.2,12.0,56.5,47.0,5.8,0.5,88.6,76.8
133,indigena.133,177.0,020802,52.0,0.0,020802,2,La Paz,8,Ingavi,2,SEGUNDA,Guaqui,1,5810,1.89764769641E8,81988.945,Ingavi,7552.0,3771.0,3781.0,2.8,6569.0,87.0,4694.0,92.9,Aymara,24.7,9.0,39.8,57.3,26.6,4.2,-6.1,90.7,91.0
134,indigena.134,81.0,020104,83.0,0.0,020104,2,La Paz,1,Murillo,4,TERCERA,Achocalla,3,13105,1.94751788E8,84674.851,Murillo,15110.0,7460.0,7650.0,1.5,11585.0,76.7,8257.0,91.4,Aymara,15.4,5.3,25.0,67.3,28.2,5.5,5.6,98.4,99.1
135,indigena.135,315.0,020801,55.0,0.0,020801,2,La Paz,8,Ingavi,1,PRIMERA,Viacha,26,54761,8.50634509547E8,140492.774,Ingavi,46596.0,23477.0,23119.0,2.7,29349.0,67.3,25931.0,87.7,Aymara,12.3,3.9,20.5,55.9,24.7,4.4,0.0,84.6,79.0
136,indigena.136,33.0,020103,86.0,0.0,020103,2,La Paz,1,Murillo,3,SEGUNDA,Mecapaca,3,9566,5.29558192813E8,124311.744,Murillo,11782.0,6069.0,5713.0,2.3,9525.0,80.8,6877.0,93.9,Aymara,17.9,10.2,26.0,73.2,30.3,5.3,-1.1,36.4,81.7
137,indigena.137,214.0,020804,51.0,0.0,020804,2,La Paz,8,Ingavi,4,CUARTA,Desaguadero,2,4337,9.0389979188E7,48289.538,Ingavi,4981.0,2454.0,2527.0,1.5,4090.0,82.1,3074.0,94.4,Aymara,19.9,6.2,32.8,72.7,44.0,3.4,-4.1,93.5,78.1
138,indigena.138,0.0,070303,277.0,0.0,070303,7,Santa Cruz,3,Velasco,3,TERCERA,San Rafael,4,2906,9.925801959781E9,449655.798,Velasco,5017.0,2793.0,2224.0,5.9,504.0,10.1,2119.0,78.1,Chiquitano,9.1,4.4,15.7,53.8,48.6,6.9,8.2,89.4,86.4
139,indigena.139,306.0,071103,264.0,0.0,071103,7,Santa Cruz,11,?uflo De Chavez,3,TERCERA,San Ram?n,2,36297,4.982747005E8,169105.742,Nuflo de Chavez,5660.0,2998.0,2662.0,-20.1,815.0,14.4,1459.0,47.5,"Chiquitano,Quechua",11.1,7.0,15.9,51.6,75.2,6.6,19.3,0.0,79.5
140,indigena.140,314.0,020806,319.0,1.0,020806,2,La Paz,8,Ingavi,6,SEXTA,Jes?s de Machaca,,,9.61068472297E8,186378.999,Ingavi,13247.0,6387.0,6860.0,0.5,12012.0,90.7,8114.0,95.7,Aymara,18.7,7.1,28.7,69.7,7.0,4.4,0.0,84.6,97.7
141,indigena.141,313.0,020805,318.0,1.0,020805,2,La Paz,8,Ingavi,5,QUINTA,San Andr?s de Machaca,,,1.51258901893E9,191891.629,Ingavi,6299.0,3104.0,3195.0,0.8,5569.0,92.5,4314.0,96.5,Aymara,20.4,6.5,33.6,61.0,3.3,4.4,0.0,84.6,99.3
142,indigena.142,43.0,020905,68.0,0.0,020905,2,La Paz,9,Loayza,5,QUINTA,Cairoma,5,9653,5.40921215953E8,120492.507,Loayza,11338.0,5801.0,5537.0,1.7,9658.0,85.2,6046.0,91.3,Aymara,18.2,9.8,27.2,95.5,19.9,5.4,-11.8,97.7,96.2
143,indigena.143,305.0,071105,315.0,0.0,071105,7,Santa Cruz,11,?uflo De Chavez,5,QUINTA,San Antonio de Lomerio,,,2.537868544938E9,259790.083,Nuflo de Chavez,6293.0,3399.0,2894.0,0.0,2922.0,46.4,2930.0,89.3,Chiquitano,19.7,11.7,29.7,62.6,36.2,6.5,-5.7,0.0,91.7
144,indigena.144,35.0,021002,61.0,0.0,021002,2,La Paz,10,Inquisivi,2,SEGUNDA,Quime,4,7395,8.74587408938E8,166145.641,Inquisivi,7338.0,3786.0,3552.0,-0.1,5145.0,70.1,3964.0,89.6,Aymara,18.3,7.6,29.6,79.9,34.7,5.6,-9.7,80.4,88.4
145,indigena.145,91.0,021304,32.0,0.0,021304,2,La Paz,13,Aroma,4,CUARTA,Calamarca,7,9716,4.92089966031E8,98974.991,Aroma,12112.0,6101.0,6011.0,2.4,11388.0,94.0,6961.0,97.3,Aymara,13.1,5.0,21.1,70.6,12.7,5.7,-11.7,98.2,98.3
146,indigena.146,45.0,021006,60.0,0.0,021006,2,La Paz,10,Inquisivi,6,SEXTA,Licoma (Villa Libertad),2,2337,1.49521038813E8,68854.649,Inquisivi,2739.0,1439.0,1300.0,1.7,1821.0,66.5,1393.0,84.7,Aymara,20.0,11.4,29.6,91.3,32.8,6.7,-9.8,97.1,87.5
147,indigena.147,304.0,071004,324.0,1.0,071004,7,Santa Cruz,10,Obispo Santisteban,4,CUARTA,Fernandez Alonso,,,7.67326768219E8,140309.877,Obispo Santistevan,11363.0,6285.0,5078.0,3.4,4776.0,45.8,4849.0,71.2,"Quechua,Chiquitano",17.2,9.7,27.4,69.7,19.1,5.2,2.3,86.1,76.1
148,indigena.148,90.0,020304,95.0,0.0,020304,2,La Paz,3,Pacajes,4,CUARTA,Comanche,4,4196,4.33304277469E8,130089.852,Pacajes,3862.0,1865.0,1997.0,-0.9,3654.0,94.6,2327.0,98.3,Aymara,20.0,9.8,29.2,84.2,20.6,5.0,-23.1,96.5,97.7
149,indigena.149,240.0,031205,121.0,0.0,031205,3,Cochabamba,12,Carrasco,5,QUINTA,Puerto Villarroel,4,24637,2.204644059891E9,374287.132,Carrasco,40790.0,22784.0,18006.0,5.4,32786.0,83.0,19429.0,85.1,Quechua,17.6,10.0,28.0,82.8,54.7,5.8,8.8,94.9,81.7
150,indigena.150,85.0,020302,93.0,0.0,020302,2,La Paz,3,Pacajes,2,SEGUNDA,Caquiaviri,11,10207,1.570890176219E9,314033.206,Pacajes,11901.0,6030.0,5871.0,1.7,11187.0,94.0,7577.0,96.6,Aymara,15.5,4.8,26.3,58.1,20.0,4.7,-16.8,97.0,97.7
151,indigena.151,31.0,020902,71.0,0.0,020902,2,La Paz,9,Loayza,2,SEGUNDA,Sapahaqui,3,8318,8.41605698609E8,164189.675,Loayza,11790.0,5982.0,5808.0,3.8,10769.0,91.3,6909.0,94.3,Aymara,21.6,13.6,29.8,68.4,18.0,5.1,-12.7,98.2,99.1
152,indigena.152,100.0,021307,33.0,0.0,021307,2,La Paz,13,Aroma,7,SEPTIMA,Collana,3,2024,1.24611166563E8,78370.723,Aroma,2927.0,1458.0,1469.0,4.0,2434.0,83.2,1871.0,97.8,Aymara,7.1,2.5,11.9,87.2,19.0,7.1,3.3,97.6,94.2
153,indigena.153,267.0,030301,109.0,0.0,030301,3,Cochabamba,3,Ayopaya,1,PRIMERA,Independencia,3,28548,1.509570882266E9,224952.177,Ayopaya,26825.0,13504.0,13321.0,-0.7,26231.0,97.8,14220.0,95.9,Quechua,41.6,25.5,57.5,106.2,19.5,7.5,-12.9,92.9,97.5
154,indigena.154,88.0,021306,34.0,0.0,021306,2,La Paz,13,Aroma,6,SEXTA,Colquencha,5,5850,3.03003732063E8,95682.984,Aroma,8020.0,3977.0,4043.0,3.4,7201.0,89.8,4300.0,95.1,Aymara,11.3,4.7,17.6,84.7,11.4,5.9,-5.4,98.3,99.9
155,indigena.155,41.0,020901,69.0,0.0,020901,2,La Paz,9,Loayza,1,PRIMERA,Luribay,6,9144,5.06164420453E8,153152.593,Loayza,9004.0,4591.0,4413.0,-0.2,7795.0,86.6,5140.0,91.8,Aymara,19.1,9.7,28.7,70.0,25.3,4.6,-16.0,98.6,96.5
156,indigena.156,36.0,020904,70.0,0.0,020904,2,La Paz,9,Loayza,4,CUARTA,Malla,3,2274,3.281604415E8,97101.841,Loayza,3733.0,1962.0,1771.0,5.4,3572.0,95.7,1977.0,92.0,Aymara,23.2,12.3,34.9,78.2,9.9,5.2,-3.3,96.5,99.9
157,indigena.157,175.0,031601,148.0,0.0,031601,3,Cochabamba,16,Tiraque,1,PRIMERA,Tiraque,3,31315,2.768145746578E9,305814.879,Tiraque,35017.0,18071.0,16946.0,1.2,32352.0,92.4,17545.0,89.2,Quechua,22.6,11.4,34.5,94.4,48.0,6.6,-0.1,97.5,84.1
158,indigena.158,86.0,020307,97.0,0.0,020307,2,La Paz,3,Pacajes,7,SEPTIMA,Nazacara de Pacajes,1,135,1.9021090547E7,20009.951,Pacajes,267.0,134.0,133.0,7.4,255.0,95.5,185.0,100.0,Aymara,20.5,4.4,36.6,68.9,25.0,5.1,18.1,95.3,98.1
159,indigena.159,30.0,021303,31.0,0.0,021303,2,La Paz,13,Aroma,3,TERCERA,Ayo Ayo,5,6407,4.88266850047E8,120872.142,Aroma,6981.0,3470.0,3511.0,0.9,6338.0,90.8,3854.0,92.7,Aymara,15.9,6.1,25.1,62.5,11.6,6.2,-13.7,98.9,99.3
160,indigena.160,283.0,021901,47.0,0.0,021901,2,La Paz,19,General Jose Manuel,1,PRIMERA,Santiago de Machaca,6,3735,1.262495620703E9,221320.1,Gral. Jose Manuel Pand,4402.0,2180.0,2222.0,1.8,3890.0,88.4,2947.0,96.2,Aymara,10.9,2.8,19.0,53.4,20.3,3.0,-9.8,97.2,93.7
161,indigena.161,98.0,020301,96.0,0.0,020301,2,La Paz,3,Pacajes,1,PRIMERA,Coro Coro,10,10490,1.136035703234E9,266192.111,Pacajes,11813.0,6128.0,5685.0,1.3,10187.0,86.2,7186.0,92.8,Aymara,14.1,4.4,24.2,66.1,25.4,4.6,-8.6,94.8,89.7
162,indigena.162,303.0,071003,266.0,1.0,071003,7,Santa Cruz,10,Obispo Santisteban,3,TERCERA,Mineros,1,34452,4.23948654344E8,140518.809,Obispo Santistevan,19846.0,10571.0,9275.0,2.4,4570.0,23.0,3943.0,65.8,"Quechua,Guarani,Chiquitano",11.2,6.3,17.2,66.4,33.3,5.2,5.1,86.1,56.9
163,indigena.163,40.0,021005,58.0,0.0,021005,2,La Paz,10,Inquisivi,5,QUINTA,Ichoca,7,6685,8.48577069516E8,154713.224,Inquisivi,6839.0,3567.0,3272.0,0.2,6222.0,91.0,3756.0,96.2,Aymara,15.2,6.1,25.1,106.3,9.7,7.2,-14.1,98.5,98.7
164,indigena.164,298.0,031206,320.0,1.0,031206,3,Cochabamba,12,Carrasco,6,SEXTA,Entre Rios (Bulo Bulo),,,2.112004627797E9,391099.126,Carrasco,22187.0,12166.0,10021.0,6.5,15192.0,74.6,10230.0,82.1,Quechua,15.2,8.0,24.6,88.6,29.6,6.2,10.9,98.5,82.4
165,indigena.165,176.0,031002,124.0,0.0,031002,3,Cochabamba,10,Chapare,2,SEGUNDA,Colomi,5,15489,5.59865922719E8,133380.196,Chapare,16262.0,8200.0,8062.0,1.9,15641.0,96.2,8467.0,94.0,Quechua,22.2,11.2,33.1,87.4,45.2,6.4,-7.1,93.8,85.2
166,indigena.166,320.0,070402,258.0,1.0,070402,7,Santa Cruz,4,Ichilo,2,SEGUNDA,San Carlos,1,18347,1.22144465379699E9,253303.999,Ichilo,16502.0,8790.0,7712.0,2.5,3459.0,22.3,2994.0,33.5,"Quechua,Chiquitano,Guarani",14.5,8.8,20.9,55.1,74.5,5.5,13.6,83.2,65.0
